"Geschlecht","Alter","AnzahlGeschwister","WohnortMuenster","Wohntyp","Wohnflaeche","Wohnzufriedenheit","Wohnkosten","FahrzeitRadDom","MatheVorkurs","Studiengang","Lehre","AnderesStudium","Bundesland","EntfernungSchule","Abiturnote","Mathematik","SoWi","Spanisch","Informatik","Deutsch","Sport","Musik","Englisch","Physik","Erdkunde","Geschichte","Chemie","Kunst","Biologie","Franzoesisch","Wirtschaft","Keine","Textfeld","MathenoteDurchschnitt","Auslandsaufenthalt","Nebenjob","Bafoeg","Monatsbudget","Verkehrsmittel","SozialesEngagement","Buecher","ErwartetesGehalt","40Prozent","60Prozent","Medienvertrauen"
"weiblich",19,"1","nein","bei meinen Eltern",50,"sehr zufrieden",NA,"Ich wohne nicht in Münster","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",2.1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"8","nein",0,0,NA,"ÖPNV",0,"51-100",3000,"40","3/5",95
"männlich",21,"1","ja","in einer WG",15,"zufrieden",486,"zwischen 5 und 10 min","ja","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Niedersachsen","50-100 km",1.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,"14","nein",0,80,500,"Fahrrad",10,"501-1000",1e+05,"40","60",100
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"weiblich",20,"3","ja","in einer WG",22,"zufrieden",670,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",2.1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"11","nein",5,0,1500,"Fahrrad",0,"501-1000",NA,"4","3/5",27
"weiblich",19,"4","ja","in einer WG",12,"sehr zufrieden",418,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",1.8,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","ja",8,0,650,"Fahrrad",0,"501-1000",20000,"40","60",77
"männlich",18,"1","ja","in einer WG",40,"zufrieden",NA,"zwischen 5 und 10 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","20-50 km",2.2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","nein",0,0,NA,"Fahrrad",0,"101-500",2800,"40","60",51
"männlich",22,"1","ja","in einer WG",7,"zufrieden",490,"zwischen 2 und 5 min","nein","Betriebswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","nein","Niedersachsen","100-200 km",2.9,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"10","nein",0,545,945,"Fahrrad",0,"1-50",45000,"40","60",16
"männlich",19,"1","ja","in einer WG",19,"zufrieden",355,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Schlewsig-Holstein","200-500 km",2.2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,"6","nein",10,0,800,"Fahrrad",5,"101-500",70000,"40","60",74
"männlich",18,"2","ja","alleine in einer Wohnung",30,"sehr zufrieden",475,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Mecklenburg-Vorpommern","500-1000 km",1.6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"12","ja",12,68,1100,"Fahrrad",0,"mehr als 2000",60000,"40","3/5",73
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"weiblich",20,"2","ja","in einer WG",11,"es ist okay",488,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","nein","Thüringen","200-500 km",2.2,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"7","ja",0,0,NA,"Fahrrad",NA,"51-100",NA,"40","60",48
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",19,"1","ja","in einem Wohnheim",11,"es ist okay",245,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",1.9,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","nein",10,0,1000,"Fahrrad",0,"51-100",55000,"4","3/5",37
"männlich",19,"4","ja","in einem Wohnheim",25,"sehr zufrieden",360,"zwischen 15 und 20 min","ja","Betriebswirtschaftslehre","nein","nein","Schlewsig-Holstein","200-500 km",1.6,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,"13","nein",0,0,1000,"Fahrrad",0,"51-100",45000,"40","60",75
"männlich",18,"1","ja","sonstiges",700,"es ist okay",0,"zwischen 20 und 30 min","nein","Betriebswirtschaftslehre","nein","nein","Berlin","200-500 km",2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Politikwissenschaft","13","nein",8,0,1200,"ÖPNV",0,"1001-2000",70000,"40","60",63
"weiblich",19,"1","ja","in einer WG",17,"sehr zufrieden",550,"zwischen 2 und 5 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",1.4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pädagogik","2","ja",10,0,NA,"Fahrrad",0,"51-100",NA,"40","3/5",45
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"weiblich",18,"1","ja","in einer WG",11,"zufrieden",380,"zwischen 2 und 5 min","ja","Betriebswirtschaftslehre","nein","nein","Sachsen","500-1000 km",1.5,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","nein",7,700,1000,"Fahrrad",0,"51-100",NA,"40","3/5",76
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",18,"2","ja","in einer WG",54,"zufrieden",NA,"zwischen 5 und 10 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","20-50 km",1.6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","nein",0,0,NA,"Fahrrad",5,"51-100",50000,"40","3/5",80
"männlich",20,"2","nein","bei meinen Eltern",NA,"es ist okay",0,"Ich wohne nicht in Münster","nein","Volkswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","50-100 km",2.8,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","nein",27,0,NA,"ÖPNV",0,"51-100",NA,"40","3/5",46
"männlich",18,"2","ja","in einer WG",14,"zufrieden",225,"weniger als 2 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen",NA,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"4","nein",0,0,1000,"Fahrrad",0,"101-500",8000,"40","60",47
"weiblich",20,"2","ja","in einer WG",30,"sehr zufrieden",NA,"zwischen 5 und 10 min","ja","Betriebswirtschaftslehre","nein","nein","Niedersachsen","100-200 km",2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Politik","10","nein",8,NA,NA,"Fahrrad",0,"101-500",NA,"40","60",64
"weiblich",19,"2","ja","alleine in einer Wohnung",30,"es ist okay",480,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",1.8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"12","nein",0,0,NA,"Fahrrad",0,"1-50",40000,"40","60",41
"weiblich",20,"2","ja","in einem Wohnheim",50,"zufrieden",780,"zwischen 2 und 5 min","ja","Betriebswirtschaftslehre","nein","nein","Baden-Württemberg","200-500 km",1.3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"13","ja",0,0,500,"zu Fuß",8,"51-100",3500,"40","60",89
"männlich",20,"1","ja","alleine in einer Wohnung",24,"zufrieden",400,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Hamburg","200-500 km",1.9,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"14","nein",0,0,700,"zu Fuß",0,"101-500",45000,"40","3/5",98
"männlich",20,"1","ja","alleine in einer Wohnung",25,"unzufrieden",325,"zwischen 20 und 30 min","nein","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Baden-Württemberg","200-500 km",2.6,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"7","nein",0,0,NA,"Fahrrad",0,"1-50",50000,"40","60",75
"weiblich",21,"2","ja","alleine in einer Wohnung",55,"zufrieden",750,"zwischen 5 und 10 min","ja","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Berlin","500-1000 km",2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"8","ja",0,0,600,"Fahrrad",50,"1-50",50000,"40","60",72
"weiblich",20,"1","ja","in einer WG",20,"zufrieden",540,"zwischen 10 und 15 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","200-500 km",1.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"13","ja",0,0,400,"Fahrrad",0,"1-50",NA,"4","3/5",78
"männlich",20,"0","ja","in einer WG",18,"sehr zufrieden",500,"zwischen 10 und 15 min","ja","Betriebswirtschaftslehre","nein","nein","Niedersachsen","200-500 km",2.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"8","nein",0,0,1000,"Fahrrad",0,"1-50",4500,"40","60",67
"weiblich",20,"0","ja","in einer WG",17,"sehr zufrieden",550,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Hessen","200-500 km",2.6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"12","nein",5,NA,NA,"Fahrrad",0,"501-1000",NA,"1/4","3/5",51
"männlich",20,"2","ja","in einer WG",35,"sehr zufrieden",600,"weniger als 2 min","nein","Volkswirtschaftslehre","ja, aber ich habe diese Ausbildung nicht abgeschlossen","nein","Bremen","100-200 km",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,"8","nein",15,0,2500,"zu Fuß",0,"1001-2000",5000,"40","3/5",76
"männlich",20,"1","ja","alleine in einer Wohnung",35,"sehr unzufrieden",580,"zwischen 5 und 10 min","nein","Volkswirtschaftslehre","nein","nein","Niedersachsen","100-200 km",2.9,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,"Politik und Wirtschaft","9","nein",0,0,900,"Fahrrad",8,"mehr als 2000",6500,"40","3/5",71
"männlich",19,"1","ja","alleine in einer Wohnung",25,"zufrieden",318,"zwischen 20 und 30 min","ja","Betriebswirtschaftslehre","nein","nein","Schlewsig-Holstein","200-500 km",1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,"13","nein",0,0,700,"Fahrrad",0,"1001-2000",40000,"40","3/5",34
"weiblich",19,"1","ja","alleine in einer Wohnung",25,"unzufrieden",600,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","100-200 km",1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latein, Erziehungswissenschaften","6","nein",12,0,700,"Fahrrad",10,"mehr als 2000",3500,"40","3/5",64
"männlich",20,"0","ja","in einer WG",10,"zufrieden",300,"zwischen 15 und 20 min","nein","Betriebswirtschaftslehre","nein","nein","Niedersachsen","200-500 km",2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"14","nein",20,0,NA,"ÖPNV",8,"1001-2000",42000,"40","60",63
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"weiblich",21,"0","nein","bei meinen Eltern",10,"zufrieden",NA,"Ich wohne nicht in Münster","nein","Wirtschaft und Recht","ja und ich habe diese Ausbildung abgeschlossen","nein","Nordrhein-Westfalen","50-100 km",2.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"11","nein",8,0,NA,"ÖPNV",0,"51-100",30000,"40","3/5",49
"weiblich",20,"1","ja","in einer WG",20,"es ist okay",450,"zwischen 5 und 10 min","ja","Politik und Wirtschaft","nein","nein","Rheinland-Pfalz","200-500 km",1.3,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","nein",0,0,150,"ÖPNV",2,"mehr als 2000",NA,"40","60",63
"männlich",19,"1","ja","bei meinen Eltern",120,"zufrieden",0,"zwischen 20 und 30 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","0-10 km",2.3,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"8","nein",15,0,800,"Fahrrad",0,"501-1000",2500,"40","60",72
"männlich",25,"1","ja","alleine in einer Wohnung",35,"sehr zufrieden",600,"zwischen 2 und 5 min","nein","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","50-100 km",2.1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"10","ja",7,0,900,"zu Fuß",0,"101-500",NA,"40","3/5",38
"weiblich",21,"1","ja","alleine in einer Wohnung",20,"zufrieden",360,"zwischen 20 und 30 min","nein","Betriebswirtschaftslehre","nein","nein","Niedersachsen","100-200 km",2.2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"10","ja",0,0,500,"Fahrrad",0,"101-500",42000,"40","60",77
"weiblich",18,"2","ja","in einer WG",12,"zufrieden",380,"zwischen 10 und 15 min","nein","Wirtschaft und Recht","nein","nein","Nordrhein-Westfalen","100-200 km",2.1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","nein",0,85,NA,"Fahrrad",0,"501-1000",NA,"40","60",61
"männlich",19,"1","ja","in einer WG",15,"zufrieden",NA,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Schlewsig-Holstein","200-500 km",1.9,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"13","nein",4,537,NA,"Fahrrad",4,"1-50",55000,"40","3/5",58
"männlich",18,"2","nein","alleine in einer Wohnung",30,"zufrieden",500,"zwischen 2 und 5 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"9","nein",0,0,1000,"Fahrrad",0,"101-500",60000,"40","3/5",76
"weiblich",18,"1","ja","alleine in einer Wohnung",39,"zufrieden",560,"zwischen 5 und 10 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",1.5,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"12","nein",0,0,650,"Fahrrad",0,"101-500",40000,"40","60",73
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"weiblich",20,"1","ja","bei meinen Eltern",15,"zufrieden",NA,"zwischen 20 und 30 min","nein","Wirtschaft und Recht","nein","nein","Nordrhein-Westfalen","0-10 km",2.2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","nein",12,NA,NA,"ÖPNV",0,"51-100",30000,NA,NA,NA
"weiblich",19,"1","ja","in einem Wohnheim",8,"zufrieden",205,"weniger als 2 min","nein","Wirtschaft und Recht","nein","nein","Nordrhein-Westfalen","50-100 km",2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","nein",0,0,NA,"Fahrrad",22,"101-500",3000,"40","60",30
"männlich",22,"4","ja","in einer WG",12,"sehr zufrieden",399,"zwischen 2 und 5 min","nein","Betriebswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","nein","Nordrhein-Westfalen","0-10 km",2.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"7","nein",8,0,750,"Fahrrad",0,"101-500",45000,"40","3/5",70
"männlich",19,"0","nein","bei meinen Eltern",20,"sehr zufrieden",0,"Ich wohne nicht in Münster","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","20-50 km",1.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"11","nein",18,0,700,"ÖPNV",0,"101-500",50000,"40","60",84
"männlich",19,"1","ja","alleine in einer Wohnung",23,"es ist okay",800,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","nein","Nordrhein-Westfalen","100-200 km",1.6,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Pädagogik","9","nein",5,400,1200,"Fahrrad",8,"501-1000",50000,"40","60",74
"weiblich",19,"1","ja","alleine in einer Wohnung",40,"zufrieden",500,"zwischen 15 und 20 min","ja","Volkswirtschaftslehre","nein","nein","Nordrhein-Westfalen","20-50 km",1.4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"14","nein",0,750,1200,"Fahrrad",0,"101-500",45000,"40","60",62
"weiblich",19,"2","ja","in einer WG",11,"unzufrieden",410,"zwischen 15 und 20 min","nein","Wirtschaft und Recht","nein","nein","Nordrhein-Westfalen","20-50 km",1.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"11","nein",10,0,NA,"Fahrrad",15,"51-100",25000,"40","3/5",55
"weiblich",20,"1","ja","in einer WG",20,"zufrieden",452,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","nein","Niedersachsen","200-500 km",2.5,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"10","nein",0,0,1185,"Fahrrad",0,"101-500",2700,"40","60",49
"weiblich",20,"2","ja","in einer WG",13,"zufrieden",300,"zwischen 10 und 15 min","ja","Betriebswirtschaftslehre","nein","nein","Niedersachsen","50-100 km",1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"Politik","10","nein",0,0,800,"Fahrrad",4,"101-500",2700,"40","60",45
"weiblich",20,"1","ja","in einer WG",24,"zufrieden",600,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Niedersachsen","100-200 km",1.4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,"Politik","11","ja",0,0,950,"Fahrrad",0,"1-50",2700,"40","3/5",33
"männlich",21,"0","nein","bei meinen Eltern",6,"zufrieden",NA,"Ich wohne nicht in Münster","nein","Volkswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",3.2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","nein",11,459.9,980,"ÖPNV",NA,"1-50",45000,"40","3/5",65
"weiblich",19,"1","ja","alleine in einer Wohnung",37,"zufrieden",800,"zwischen 2 und 5 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",1.6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"11","nein",0,0,350,"Fahrrad",0,"101-500",80000,"40","3/5",60
"männlich",20,"2","ja","alleine in einer Wohnung",33,"es ist okay",625,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","nein","Niedersachsen","50-100 km",1.7,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latein","11","nein",0,331,1100,"Fahrrad",0,"1-50",45000,"40","60",71
"männlich",22,"1","ja","in einer WG",40,"zufrieden",540,"zwischen 5 und 10 min","nein","Volkswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","0-10 km",2.6,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","nein",10,0,1200,"eScooter",0,"101-500",38000,"40","60",61
"weiblich",18,"2","ja","in einer WG",12,"es ist okay",300,"zwischen 10 und 15 min","nein","Wirtschaft und Recht","nein","nein","Nordrhein-Westfalen","50-100 km",1.4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","nein",20,0,1000,"Fahrrad",0,"1001-2000",60000,"40","60",61
"weiblich",20,"1","ja","in einer WG",11,"zufrieden",470,"zwischen 20 und 30 min","nein","Betriebswirtschaftslehre","nein","nein","Baden-Württemberg","200-500 km",1.8,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","nein",0,0,800,"ÖPNV",0,"101-500",40000,"40","60",63
"männlich",19,"1","ja","in einer WG",16,"zufrieden",NA,"zwischen 5 und 10 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",1.6,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"9","nein",0,0,NA,"Fahrrad",0,"501-1000",55000,"40","3/5",83
"männlich",20,"0","nein","bei meinen Eltern",25,"es ist okay",NA,"Ich wohne nicht in Münster","nein","Politik und Wirtschaft","nein","nein","Nordrhein-Westfalen","20-50 km",1.4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","nein",NA,0,NA,"ÖPNV",0,"51-100",40000,"40","60",59
"männlich",19,"1","ja","in einer WG",16,"zufrieden",303,"zwischen 10 und 15 min","ja","Volkswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","20-50 km",1.2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","nein",0,0,500,"Fahrrad",10,"mehr als 2000",4500,"40","3/5",11
"männlich",18,"0","ja","in einer WG",22,"sehr zufrieden",600,"weniger als 2 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","nein",0,0,400,"Fahrrad",0,"51-100",80000,"40","60",23
"weiblich",21,"2","ja","in einer WG",10,"sehr zufrieden",380,"weniger als 2 min","nein","Betriebswirtschaftslehre","nein","nein","Niedersachsen","100-200 km",2.3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"8","ja",0,0,NA,"zu Fuß",20,"101-500",40000,"40","60",84
"männlich",21,"5 oder mehr","ja","bei meinen Eltern",25,"sehr zufrieden",NA,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","0-10 km",2.6,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"11","nein",0,0,500,"Fahrrad",0,"1001-2000",40000,"40","60",33
"weiblich",22,"1","nein","bei meinen Eltern",101,"zufrieden",NA,"mehr als 30 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","20-50 km",2.3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betriebswirtschaftslehre","10","nein",0,511,NA,"ÖPNV",0,"1-50",3000,"40","3/5",33
"weiblich",19,"3","ja","in einer WG",11,"zufrieden",300,"weniger als 2 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",2.2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","nein",0,0,840,"Fahrrad",10,"1001-2000",40200,"40","3/5",71
"männlich",21,"0","nein","bei meinen Eltern",20,"sehr zufrieden",NA,"Ich weiß es nicht","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","nein",0,0,NA,"ÖPNV",20,"1-50",3500,"40","60",83
